618 4 6461
1 1 1 1 
0 1 0 0 
1 0 1 1 
0 0 0 0 
1 0 1 0 
0 1 0 0 
1 1 0 1 
0 0 0 0 
0 1 0 0 
0 0 1 0 
0 0 1 1 
1 1 0 1 
0 1 0 0 
1 0 0 1 
1 1 1 1 
0 0 1 1 
1 1 0 1 
1 1 0 0 
0 0 0 1 
0 0 1 1 
0 0 1 0 
1 1 1 0 
1 0 1 1 
1 1 1 1 
0 1 1 1 
1 0 0 1 
1 1 1 0 
1 1 0 0 
0 1 1 0 
0 1 0 0 
1 1 1 0 
1 1 1 1 
1 0 0 0 
0 0 1 0 
1 1 0 0 
1 1 1 0 
0 1 0 0 
1 0 0 0 
0 0 1 0 
1 0 0 1 
1 1 1 1 
1 1 0 1 
1 0 0 0 
0 1 1 1 
1 1 0 1 
1 0 0 0 
1 1 0 1 
0 1 1 1 
0 1 1 1 
1 1 0 0 
1 1 0 1 
0 1 0 0 
1 1 0 0 
0 0 0 0 
0 1 1 0 
0 0 1 0 
1 0 1 0 
0 1 0 0 
0 0 0 1 
1 1 1 1 
1 1 1 0 
1 0 0 1 
0 1 1 0 
1 1 0 0 
0 0 0 1 
1 1 1 0 
1 1 1 1 
1 0 0 0 
1 0 1 1 
0 0 0 0 
1 1 0 1 
0 1 1 1 
0 0 1 0 
0 1 0 0 
0 1 1 0 
1 0 1 0 
1 0 1 0 
1 0 1 0 
1 1 0 1 
0 0 0 1 
1 0 0 0 
1 0 0 1 
1 0 1 0 
0 1 0 0 
1 1 1 1 
0 1 1 0 
0 1 1 1 
1 0 0 1 
1 0 0 0 
0 0 1 0 
0 1 1 0 
0 0 1 0 
1 1 1 1 
1 0 0 0 
0 1 1 1 
0 0 1 1 
1 1 1 0 
1 1 0 1 
1 0 0 1 
0 1 1 0 
0 1 1 1 
0 1 0 0 
0 0 1 1 
1 1 0 0 
1 0 0 1 
0 0 1 1 
1 1 1 1 
0 0 1 1 
1 0 1 1 
1 0 0 1 
0 1 1 1 
0 1 0 1 
0 1 1 1 
0 0 1 0 
0 1 1 0 
0 0 1 1 
0 0 0 0 
1 1 0 0 
1 0 0 0 
1 0 0 1 
1 1 1 1 
1 1 0 1 
0 0 1 1 
0 0 0 0 
0 1 0 0 
0 0 1 1 
0 1 0 1 
0 1 1 0 
0 1 1 0 
0 1 0 1 
1 0 1 1 
0 1 0 0 
1 1 0 0 
1 0 1 1 
1 1 1 0 
1 0 1 0 
0 0 0 1 
0 0 1 0 
1 0 0 1 
0 0 1 0 
1 1 1 1 
1 0 1 1 
0 0 0 1 
1 1 1 1 
0 0 1 0 
1 0 0 1 
0 1 0 1 
1 0 1 1 
0 0 1 1 
0 0 0 1 
1 0 0 0 
0 0 1 1 
1 0 0 1 
1 1 1 1 
0 0 0 0 
1 0 0 1 
0 0 0 1 
0 0 1 0 
0 0 1 0 
1 0 1 0 
0 0 0 1 
0 1 0 0 
1 0 0 1 
1 1 1 1 
0 1 0 0 
0 1 1 1 
0 1 1 1 
1 1 0 1 
1 0 0 1 
0 1 1 0 
1 0 1 0 
0 0 0 0 
0 1 1 0 
1 0 1 0 
0 0 1 1 
0 1 1 1 
1 1 1 0 
0 0 1 1 
1 1 0 0 
0 1 0 0 
1 0 0 0 
1 0 0 0 
0 1 1 1 
0 1 0 1 
0 1 0 0 
0 1 1 0 
1 0 1 1 
1 0 0 0 
0 1 1 1 
1 1 0 0 
1 0 0 0 
1 0 1 1 
0 0 0 0 
0 0 0 1 
0 0 1 0 
0 1 0 0 
1 1 1 1 
1 1 0 0 
1 1 1 0 
1 0 1 0 
1 1 0 1 
1 1 1 0 
1 1 0 1 
0 1 0 1 
0 0 0 0 
1 0 0 0 
0 0 1 1 
1 1 0 0 
1 0 1 1 
1 1 0 0 
0 1 1 1 
1 1 0 0 
1 0 0 1 
1 0 0 1 
0 1 1 0 
0 0 1 0 
0 1 0 0 
0 1 1 1 
1 0 0 1 
0 1 0 1 
0 0 0 1 
1 1 1 0 
1 0 0 1 
0 1 0 1 
0 1 1 1 
0 0 1 0 
1 1 0 1 
1 1 1 1 
1 0 1 1 
1 1 0 0 
0 1 1 0 
0 0 1 1 
1 0 1 1 
0 1 0 0 
1 1 0 0 
0 1 0 0 
0 0 1 1 
1 1 1 1 
1 0 0 1 
0 0 1 1 
1 1 1 1 
0 1 1 1 
1 0 1 1 
1 0 1 1 
0 1 0 0 
1 0 0 1 
1 0 0 1 
0 1 1 1 
1 0 0 1 
0 1 1 0 
0 0 0 1 
0 1 1 1 
1 1 1 1 
0 0 0 0 
1 0 0 1 
0 1 1 0 
1 1 1 1 
1 0 1 0 
0 1 0 0 
1 1 0 0 
1 1 0 0 
0 1 1 0 
1 1 1 1 
0 1 1 1 
1 1 1 1 
1 1 0 0 
1 0 0 0 
0 1 0 1 
0 1 0 0 
1 0 0 1 
1 1 0 1 
1 1 0 0 
1 0 1 1 
0 0 0 0 
1 1 0 0 
1 0 1 1 
0 1 0 1 
1 1 0 1 
1 1 0 1 
1 0 0 0 
1 1 1 1 
0 1 0 0 
0 0 1 1 
1 1 1 1 
1 0 1 0 
0 0 0 0 
1 1 0 1 
1 0 0 0 
0 0 0 1 
1 0 0 1 
0 0 0 1 
0 1 1 1 
1 0 0 0 
0 0 1 0 
0 1 0 0 
0 1 1 0 
1 1 0 1 
0 0 1 0 
0 1 0 1 
1 1 1 1 
1 1 0 1 
1 1 0 0 
0 0 1 1 
0 0 0 1 
0 1 0 1 
0 1 1 0 
0 0 0 0 
1 1 0 0 
1 0 0 1 
0 1 0 1 
0 0 1 0 
1 1 0 1 
0 0 0 0 
1 1 1 1 
1 0 1 0 
1 1 1 1 
0 0 0 1 
1 1 1 0 
0 1 1 1 
1 0 0 1 
1 0 1 1 
0 1 0 1 
0 0 0 0 
0 1 0 0 
1 0 1 1 
0 1 0 1 
1 1 1 1 
0 0 1 0 
1 0 0 1 
1 0 0 0 
1 0 1 1 
0 0 1 0 
0 0 1 1 
1 0 0 0 
1 1 0 1 
1 1 1 0 
0 0 1 0 
0 0 1 0 
0 0 1 1 
0 1 0 0 
1 0 0 1 
0 0 0 0 
0 0 1 1 
0 1 1 0 
0 0 1 0 
1 1 0 1 
0 0 1 1 
1 0 1 0 
1 0 1 0 
1 1 1 0 
1 0 0 0 
0 1 0 1 
1 1 0 0 
0 0 1 1 
0 1 0 0 
1 1 1 1 
1 0 1 0 
0 0 0 1 
0 1 0 1 
1 0 1 1 
1 1 0 1 
1 1 1 0 
0 0 1 0 
1 0 1 0 
1 1 0 0 
1 1 0 0 
0 1 1 1 
0 0 1 0 
405 2
404 4
92 2
444 3
258 4
47 3
613 3
55 2
391 4
296 2
188 3
404 4
89 1
149 4
569 3
297 2
495 3
330 4
425 3
220 3
565 2
1 3
491 2
364 2
214 4
46 4
146 1
447 2
55 1
55 4
292 3
469 3
150 4
441 1
489 2
253 1
87 2
139 4
547 2
609 2
438 3
317 2
435 1
287 1
85 4
62 3
289 1
90 2
524 1
184 3
101 1
295 2
196 1
501 2
193 2
206 1
568 2
54 4
440 2
496 2
203 4
114 3
538 2
68 3
83 1
58 2
45 4
151 4
417 2
67 3
266 1
335 4
537 4
340 4
202 2
117 2
533 2
522 4
127 1
78 4
250 2
558 2
89 3
175 3
424 4
9 1
433 1
615 2
590 4
325 4
221 3
321 3
60 2
525 4
567 1
125 4
16 3
391 3
135 1
385 1
152 1
176 1
210 1
532 4
610 2
225 3
286 1
156 4
487 2
229 4
546 2
53 3
359 2
144 3
313 1
484 1
344 4
454 4
617 4
577 2
431 4
63 1
520 1
94 3
270 3
429 2
366 4
465 3
526 3
378 2
60 2
224 3
162 2
229 3
219 3
451 4
154 2
428 2
34 1
315 3
519 2
279 1
517 2
223 1
303 1
236 3
233 2
197 4
245 4
523 3
206 4
397 4
213 2
335 3
579 3
99 2
365 1
340 2
310 4
77 2
606 1
425 2
359 4
250 1
510 3
612 4
95 1
26 2
476 1
102 4
612 1
367 2
576 4
100 4
599 4
500 4
427 4
277 1
188 2
180 3
441 3
247 3
197 1
206 1
333 2
162 3
506 2
381 1
202 4
442 3
142 2
13 1
485 1
320 2
601 2
516 4
391 3
297 2
165 4
561 4
322 1
85 3
321 3
545 4
69 1
319 4
570 2
133 1
583 1
266 1
335 4
548 2
550 3
310 3
579 4
508 2
384 2
302 1
278 4
113 1
103 2
85 2
247 1
558 2
242 3
352 3
369 1
336 3
429 1
223 4
127 1
543 4
21 1
526 1
310 2
124 1
598 4
456 1
280 4
425 3
571 1
80 1
24 1
263 4
247 1
354 3
270 4
485 4
555 4
221 2
399 4
327 1
27 1
159 1
267 2
557 4
114 1
442 1
40 3
306 1
505 1
425 4
141 3
369 3
201 1
599 1
59 1
485 2
121 2
128 4
526 4
373 1
44 2
295 3
32 3
337 3
117 4
330 1
334 4
326 3
425 1
533 2
109 4
436 3
90 1
529 2
35 1
482 1
149 4
41 4
178 4
481 3
90 1
477 1
116 2
397 2
323 3
512 2
319 2
612 1
218 2
461 2
457 1
323 4
592 4
218 1
47 2
124 4
488 4
191 3
572 3
171 4
337 1
416 3
106 1
93 4
162 3
70 4
342 3
437 1
170 1
242 3
30 3
421 2
489 1
24 3
274 1
306 4
353 2
166 3
28 4
468 4
400 4
568 1
597 2
537 1
260 2
26 4
339 4
217 2
92 3
271 3
561 4
281 3
193 3
129 3
485 3
200 1
312 1
184 1
228 1
549 2
175 4
44 2
207 3
370 4
267 1
381 1
453 2
97 4
507 2
371 1
458 2
586 4
571 4
417 3
313 3
28 2
507 4
152 4
123 1
528 4
281 1
316 3
240 2
586 2
558 1
392 3
310 4
227 2
481 2
223 3
243 2
1 2
260 4
437 2
4 1
72 4
157 2
72 4
6 1
494 2
356 3
308 3
1 1
585 4
274 2
501 2
196 2
590 1
110 3
49 3
413 3
576 4
515 2
428 2
4 1
65 2
355 2
579 2
106 1
609 2
560 4
300 1
316 4
375 2
544 3
569 3
257 3
132 1
594 2
47 3
164 4
91 1
612 2
70 3
28 1
337 1
16 1
171 1
111 3
235 3
131 2
45 2
332 2
444 2
263 4
84 1
145 1
235 3
137 4
503 4
390 2
113 1
246 3
426 2
554 1
387 3
71 1
515 1
600 4
268 2
275 4
450 1
229 4
521 1
298 1
563 2
108 3
538 4
528 1
149 2
398 4
217 4
452 2
603 1
443 1
520 2
122 3
538 4
8 2
133 3
484 1
341 2
198 1
553 1
30 1
5 1
511 2
522 2
177 3
158 4
249 2
45 3
332 2
181 3
18 4
482 2
49 2
487 3
123 2
28 2
599 3
367 2
46 3
400 3
296 3
102 3
325 1
443 2
377 1
295 2
466 3
30 3
228 2
517 1
154 2
328 4
590 1
390 4
548 1
139 2
216 2
14 3
569 4
436 1
450 4
187 3
578 4
394 4
250 3
346 4
588 1
434 4
605 1
355 1
68 1
265 4
504 1
181 2
405 4
103 3
268 2
431 2
131 1
455 2
127 2
463 3
558 2
47 4
289 2
125 4
46 3
542 2
365 2
434 1
267 1
278 3
237 2
287 2
185 4
276 2
323 1
538 2
595 1
316 4
400 4
91 3
346 3
45 2
326 1
95 3
261 1
466 2
382 2
93 4
431 4
599 4
611 1
258 2
604 4
229 4
95 4
588 4
171 2
221 4
449 3
189 1
430 1
612 1
307 3
127 1
566 4
443 3
101 3
368 4
299 2
111 1
50 1
538 2
46 3
307 1
545 1
281 4
72 3
540 2
182 2
228 1
359 1
470 2
86 3
501 1
134 1
239 4
198 2
615 2
329 3
188 1
302 3
415 2
318 4
197 2
483 2
573 1
78 1
383 1
303 2
435 2
467 1
175 1
252 3
576 3
248 3
576 4
170 1
87 1
244 4
32 2
503 3
187 2
251 2
168 1
439 1
152 3
616 2
91 3
506 2
66 2
199 3
77 1
98 3
522 3
450 1
481 2
293 2
168 3
147 3
176 2
329 4
360 4
11 2
526 4
54 3
204 1
580 4
501 4
80 2
458 2
118 2
15 1
141 2
330 4
534 4
100 4
233 4
227 2
607 2
46 1
388 4
533 3
504 1
63 3
228 2
529 4
37 4
489 2
14 1
504 2
391 3
376 3
147 4
217 1
457 1
580 2
544 4
165 4
362 1
600 2
175 1
350 2
352 1
353 1
195 1
47 1
605 1
308 2
397 2
357 1
605 2
270 4
165 1
29 1
89 2
237 3
509 2
259 3
335 1
196 3
354 2
54 4
336 4
171 1
451 3
557 3
153 4
336 2
244 2
536 4
77 2
287 2
78 1
573 3
378 1
180 3
167 3
3 4
110 3
172 4
355 2
256 1
12 2
177 3
235 2
216 1
563 1
310 3
241 1
559 4
133 2
97 4
35 4
601 4
528 2
74 4
351 1
109 3
483 4
138 3
418 4
597 3
222 4
546 3
415 1
23 2
130 4
335 4
383 3
41 2
108 3
461 3
191 1
330 2
238 2
17 4
202 1
510 4
31 3
105 4
452 3
517 4
422 2
341 3
197 3
223 2
88 1
320 1
396 2
17 2
263 2
104 4
348 3
508 4
512 2
88 4
502 4
190 2
411 3
543 2
252 3
9 1
611 1
359 1
552 4
234 4
298 2
20 2
86 3
177 2
244 4
450 1
285 3
221 4
120 1
133 2
79 4
177 4
73 3
207 3
582 1
503 1
602 3
562 4
438 1
204 4
424 3
355 4
396 4
114 1
269 2
241 2
550 3
169 1
142 1
332 3
111 4
86 1
207 4
258 2
161 3
579 1
357 2
193 1
507 3
197 3
368 3
64 1
311 1
275 2
27 2
574 3
177 1
447 4
197 4
439 3
368 1
240 3
189 2
347 4
218 3
319 2
63 4
569 4
199 2
28 4
200 2
172 2
593 2
346 2
50 4
513 2
578 2
618 3
261 3
248 1
323 3
151 4
130 2
56 4
399 2
250 1
249 4
136 2
614 3
137 2
342 2
67 4
301 4
146 2
443 3
112 3
330 1
496 2
591 1
541 3
590 3
206 4
156 3
399 4
559 4
475 3
445 3
282 2
376 3
235 1
610 3
334 1
395 3
242 4
400 3
115 1
282 3
62 1
219 4
191 1
157 2
261 1
383 1
252 3
326 4
397 1
493 3
459 1
369 2
586 2
339 1
614 4
207 4
253 3
372 2
22 1
172 3
256 2
376 4
53 3
557 3
194 3
63 2
37 4
509 3
538 1
27 4
471 2
234 2
425 2
616 1
292 1
212 4
251 1
23 2
198 3
354 4
185 4
37 2
612 4
164 3
464 1
511 3
468 4
254 4
483 3
245 1
11 4
578 3
169 1
442 4
244 1
46 3
433 3
318 1
166 3
125 4
73 2
426 4
553 4
590 4
390 3
368 1
60 4
432 4
456 4
519 3
103 4
472 2
131 3
198 4
231 3
151 1
103 4
173 3
236 4
35 1
606 2
5 4
9 2
505 3
314 4
201 2
616 1
261 1
171 3
209 2
77 1
117 1
154 1
475 1
25 3
127 4
311 1
61 3
404 3
27 1
243 4
388 4
224 2
232 3
229 4
399 4
216 2
100 3
86 1
68 1
478 4
479 1
535 1
223 2
115 3
229 1
303 3
449 1
441 3
597 3
577 3
144 3
357 1
252 3
553 4
539 1
392 1
402 1
432 4
310 1
569 3
375 2
132 1
116 1
13 1
241 3
353 3
249 1
515 1
455 4
348 4
525 2
431 2
439 2
5 4
575 3
274 2
228 1
23 1
30 1
550 4
499 4
267 2
136 4
48 3
336 2
289 2
260 4
153 2
376 1
261 4
380 2
306 4
220 2
421 4
542 3
554 3
544 1
564 4
279 2
195 4
435 1
200 1
346 1
99 3
307 4
444 2
395 4
254 3
325 4
555 3
131 4
78 4
224 2
105 2
384 1
62 2
121 1
3 1
319 3
13 1
537 2
304 2
333 4
308 4
131 2
380 1
98 2
242 2
217 4
338 1
311 1
266 3
132 2
367 3
401 4
562 3
362 2
4 2
495 1
260 4
539 4
585 4
315 2
70 2
307 1
248 4
205 4
327 1
523 1
523 3
518 4
480 1
563 1
584 2
19 4
286 1
477 1
154 4
38 2
369 4
376 4
495 2
489 3
105 3
432 4
33 1
14 4
526 1
428 4
478 3
359 1
66 2
527 2
508 3
80 1
383 1
149 4
51 3
412 1
512 1
294 3
605 3
31 4
419 3
167 4
367 3
115 3
73 4
575 1
491 3
315 1
367 1
177 1
590 2
29 1
262 2
260 3
284 3
203 4
21 1
433 2
292 2
456 1
452 4
80 2
227 2
102 2
305 1
549 4
72 3
95 1
473 1
486 3
155 4
96 4
470 1
268 2
519 1
409 1
543 2
358 1
116 4
480 2
401 2
486 1
149 4
81 4
223 4
272 3
317 2
114 1
142 4
191 1
437 3
605 2
157 3
164 3
166 3
393 3
164 2
517 3
399 3
199 2
37 3
466 3
269 1
185 3
105 3
303 3
73 3
601 4
275 3
499 1
521 3
578 2
316 1
368 3
247 4
162 1
466 3
14 1
502 4
20 1
22 1
69 4
391 2
442 4
458 4
569 1
439 4
258 1
285 4
356 4
222 4
413 3
424 3
159 3
215 4
356 2
193 2
561 1
455 1
401 4
30 1
19 2
193 1
71 3
586 3
7 4
502 4
140 3
577 3
70 1
69 3
49 3
469 2
37 1
384 4
386 2
104 3
399 4
364 4
436 2
15 2
309 2
157 4
520 2
333 2
111 4
152 4
6 1
445 1
172 4
413 1
194 2
26 2
222 1
4 1
605 3
473 4
572 1
434 4
522 2
85 3
511 2
39 4
355 1
97 1
344 2
418 2
110 1
223 2
12 2
16 3
294 3
205 2
291 1
222 1
417 1
478 2
230 1
177 3
417 4
109 3
509 1
141 2
480 2
455 2
291 1
72 2
468 1
288 3
501 2
45 2
412 1
5 2
146 1
210 4
376 3
577 1
595 4
530 1
323 1
226 4
387 1
40 1
275 1
337 3
554 2
543 2
274 1
506 1
562 1
346 1
471 4
402 2
429 1
432 2
425 1
252 2
566 2
104 3
88 4
151 1
568 2
73 1
504 1
195 3
531 4
50 2
279 1
48 3
399 1
457 3
284 3
366 4
482 3
504 2
168 4
370 1
379 4
116 3
252 3
38 2
58 4
589 2
243 3
151 2
538 2
423 1
198 4
144 1
515 2
585 3
254 3
518 3
616 2
395 4
333 1
7 3
506 4
558 4
369 3
520 3
13 1
238 1
13 4
138 2
309 4
534 1
510 3
417 3
537 4
172 4
156 3
357 3
103 4
187 2
601 2
317 4
259 2
466 3
445 1
376 2
51 4
80 4
112 1
139 2
390 2
223 2
144 3
407 1
49 4
426 2
104 1
165 4
462 1
341 3
473 3
301 2
473 3
41 4
145 2
500 2
170 3
499 4
1 3
97 1
527 2
183 1
270 2
602 3
31 3
443 4
289 1
278 4
294 2
611 2
347 4
529 2
236 3
546 1
56 1
191 4
516 3
69 4
36 3
420 1
185 3
309 2
150 1
592 4
175 2
553 2
579 3
66 2
375 4
227 4
103 2
5 3
382 2
210 4
409 3
556 2
522 4
589 3
612 3
596 3
207 2
587 4
182 4
271 3
283 3
223 4
4 3
380 1
458 3
391 3
205 2
590 2
127 1
514 4
554 1
524 1
345 2
6 1
492 4
143 3
118 1
556 1
346 1
552 2
412 2
406 1
502 2
85 2
567 1
389 3
212 1
446 2
270 1
94 4
390 1
512 2
456 3
252 2
61 4
465 3
414 3
192 2
135 1
80 2
397 2
52 1
244 2
11 4
609 2
517 1
538 4
275 3
592 4
343 4
589 2
409 4
67 2
90 2
598 1
451 4
524 1
489 3
385 1
297 2
504 4
289 1
138 4
461 3
57 4
484 3
155 4
50 4
132 3
32 2
116 3
162 2
38 3
536 2
345 3
290 3
303 4
110 2
415 1
72 3
218 3
73 2
189 1
420 4
371 2
504 4
426 4
538 3
205 2
464 1
388 4
293 1
585 3
269 1
468 4
326 4
81 3
506 3
596 2
12 1
227 2
520 1
4 2
473 2
487 4
498 3
102 2
267 2
400 1
122 2
46 4
344 1
1 3
91 3
51 4
361 2
92 3
530 4
314 1
540 1
465 4
76 3
30 1
72 1
275 3
172 4
509 4
562 2
319 4
608 3
107 4
325 3
474 3
522 1
257 2
10 1
116 1
303 3
105 4
221 3
416 3
248 3
320 4
456 1
586 2
491 2
167 3
115 2
101 4
44 1
229 2
618 2
10 3
39 3
297 4
302 1
201 4
49 1
400 2
120 2
574 4
146 2
611 2
222 4
380 3
229 1
207 4
392 4
109 1
205 1
91 1
483 2
55 2
598 4
471 4
339 1
397 1
188 4
331 1
262 1
217 3
122 4
294 1
138 2
513 4
477 2
195 2
502 2
475 4
116 4
367 2
485 3
546 1
605 3
365 4
85 3
586 1
103 1
402 2
547 3
510 3
87 4
102 2
458 3
590 1
119 2
12 1
348 2
512 4
170 3
228 1
608 4
374 2
159 1
209 1
276 3
110 3
128 3
594 2
261 2
387 2
462 1
156 3
104 3
6 4
237 3
388 3
169 3
439 4
346 3
154 3
382 2
213 2
45 1
236 3
518 4
108 3
410 2
538 2
234 1
387 1
339 4
428 4
326 3
312 3
180 4
556 3
251 1
298 4
84 2
516 1
85 4
221 3
455 1
162 3
129 2
586 3
182 4
178 3
326 1
451 4
242 1
499 1
423 3
270 4
54 4
600 4
356 2
238 1
84 4
449 1
232 1
113 2
119 4
40 1
565 3
403 2
7 3
124 3
202 4
21 2
425 4
129 2
225 2
344 4
388 3
154 2
185 4
303 4
530 3
377 3
483 1
546 2
486 4
349 4
45 3
200 3
29 1
159 1
544 2
171 1
337 1
468 4
81 3
231 4
454 4
142 1
569 3
553 3
399 1
352 4
291 4
120 2
409 4
112 4
55 1
460 1
604 2
43 2
534 2
143 2
319 2
513 1
503 4
338 3
212 2
312 4
155 4
595 2
104 4
142 2
55 1
84 4
224 3
284 3
558 2
154 1
397 3
290 1
574 1
269 4
307 1
428 4
175 1
41 3
438 3
566 2
301 1
388 2
552 1
105 3
289 4
606 1
159 1
357 3
275 3
311 1
249 1
2 2
25 4
335 4
3 1
107 3
577 4
94 1
12 1
325 4
326 1
554 4
585 3
134 4
30 3
494 4
14 4
524 4
240 2
463 3
87 1
522 1
480 4
358 1
548 4
339 3
257 2
355 2
296 4
306 4
258 2
584 1
498 4
452 4
253 1
147 3
463 2
607 4
348 4
391 3
545 4
553 4
167 2
294 4
441 3
6 1
375 3
288 1
428 2
499 3
249 2
378 3
462 1
220 3
463 3
6 2
190 2
52 4
397 4
320 1
459 1
610 4
197 4
70 4
505 3
530 3
495 2
35 3
535 1
240 3
338 2
611 4
165 4
435 4
544 1
377 2
109 4
537 4
348 2
16 1
541 1
83 3
375 3
472 4
175 1
257 1
107 2
92 1
62 4
379 4
384 1
51 4
237 2
247 4
470 3
455 4
318 1
160 3
190 4
392 1
266 4
388 3
511 1
23 4
505 3
442 2
291 2
488 4
155 4
370 3
242 4
489 3
403 3
294 1
448 3
374 1
481 3
455 3
323 2
147 4
84 4
207 2
424 4
543 2
138 3
98 1
36 1
108 4
48 3
514 3
368 2
111 4
345 4
590 3
598 1
467 2
417 3
310 2
144 2
476 3
321 1
294 3
227 3
335 1
544 3
3 3
366 4
446 3
249 1
186 2
599 2
86 1
327 2
515 2
566 1
31 2
211 1
559 3
177 1
48 1
160 3
250 2
512 3
374 4
16 1
52 2
579 4
291 1
225 1
53 1
601 2
48 4
511 3
453 1
610 2
322 3
549 3
556 1
483 4
449 1
476 3
133 2
251 2
327 2
212 2
308 1
566 2
287 2
278 3
497 3
35 3
18 3
530 1
11 4
311 2
52 4
143 3
359 3
273 4
531 4
153 3
301 2
6 1
478 2
437 3
137 1
71 3
141 1
235 3
70 1
332 2
282 4
148 2
542 3
274 2
58 1
33 4
196 2
572 2
458 1
362 4
470 1
57 1
126 2
463 1
482 2
477 3
549 1
238 4
238 3
159 4
261 1
262 1
414 4
458 1
288 1
437 2
399 2
160 1
69 3
179 4
479 4
584 2
356 4
366 4
117 3
10 4
330 2
603 2
297 2
313 2
182 2
593 2
402 3
317 4
132 3
380 1
494 2
548 4
285 3
197 4
505 4
88 3
309 3
591 1
